readout	order	layer	ChipID	payload	location	isCol	timestamp	tot_msb	tot_lsb	tot_total	tot_us	fpga_ts
0	765	1	0	4	32	True	55	13	198	3526	35.26	0
0	766	1	0	4	33	True	55	13	216	3544	35.44	0
0	767	1	0	4	34	True	55	12	216	3288	32.88	0
0	768	1	0	4	13	True	242	4	32	1056	10.56	0
0	769	1	0	4	18	False	50	6	204	1740	17.4	0
0	770	1	0	4	13	False	119	1	236	492	4.92	0
0	771	1	0	4	5	True	50	8	232	2280	22.8	0
0	772	1	0	4	16	True	242	4	127	1151	11.51	0
0	773	1	0	4	13	False	152	4	18	1042	10.42	0
0	774	1	0	4	8	False	242	11	104	2920	29.2	0
0	775	1	14	5	15	False	115	13	61	3389	33.89	61
0	776	1	0	4	23	False	21	13	5	3333	33.33	0
0	777	1	0	4	12	True	21	12	240	3312	33.12	0
0	778	1	0	4	6	False	150	4	7	1031	10.31	0
0	779	1	30	2	7	False	12	0	0	0	0.0	0
0	780	1	0	1	8	False	0	0	0	0	0.0	0
0	781	1	0	4	2	False	231	15	102	3942	39.42	0
0	782	1	0	4	10	True	150	0	241	241	2.41	0
0	783	1	0	4	9	False	242	3	33	801	8.01	0
0	784	1	0	4	10	False	242	10	226	2786	27.86	0
0	785	1	0	4	11	False	242	7	211	2003	20.03	0
0	786	1	0	4	14	False	42	0	206	206	2.06	0
0	787	1	0	4	13	True	242	0	177	177	1.77	0
0	788	1	0	4	14	True	242	5	216	1496	14.96	0
0	789	1	0	4	15	True	242	3	12	780	7.8	0
0	790	1	0	4	17	True	242	13	21	3349	33.49	0
0	791	1	0	4	18	True	242	12	131	3203	32.03	0
0	792	1	0	4	19	True	242	11	162	2978	29.78	0
0	793	1	0	4	20	True	242	10	179	2739	27.39	0
0	794	1	0	4	21	True	242	11	92	2908	29.08	0
0	795	1	0	4	22	True	242	10	107	2667	26.67	0
0	796	1	0	4	24	True	242	7	233	2025	20.25	0
0	797	1	0	4	25	True	231	10	102	2662	26.62	0
0	798	1	0	4	26	True	242	12	105	3177	31.77	0
0	799	1	0	4	27	True	242	14	220	3804	38.04	0
0	800	1	0	4	28	True	242	1	114	370	3.7	0
0	801	1	0	4	29	True	242	6	248	1784	17.84	0
0	802	1	0	4	30	True	242	6	155	1691	16.91	0
0	803	1	0	4	31	True	242	11	93	2909	29.09	0
0	804	1	0	4	32	True	242	9	74	2378	23.78	0
0	805	1	0	4	33	True	242	9	42	2346	23.46	0
0	806	1	0	4	34	True	242	8	152	2200	22.0	0
0	807	1	0	4	13	True	207	0	165	165	1.65	0
0	808	1	0	4	18	False	92	3	159	927	9.27	0
0	809	1	0	4	16	True	195	11	34	2850	28.5	0
0	810	1	0	4	5	True	92	3	139	907	9.07	0
0	811	1	0	4	15	False	199	2	247	759	7.59	0
0	812	1	0	4	9	False	76	4	133	1157	11.57	0
0	813	1	0	4	8	False	91	12	40	3112	31.12	0
0	814	1	24	4	61	False	61	13	61	3389	33.89	0
0	815	1	0	4	18	False	104	14	25	3609	36.09	0
0	816	1	0	4	19	False	104	3	70	838	8.38	0
0	817	1	0	4	34	True	104	3	52	820	8.2	0
0	818	1	0	4	15	False	255	10	224	2784	27.84	0
0	819	1	0	4	3	True	255	10	204	2764	27.64	0
0	820	1	0	4	0	False	156	8	121	2169	21.69	0
0	821	1	0	4	14	True	156	8	101	2149	21.49	0
0	822	-1	-1	-1	-1	True	-1	-1	-1	-1	-1.0	-1
0	823	1	0	4	15	True	91	2	234	746	7.46	0
0	824	1	0	4	16	True	195	5	58	1338	13.38	0
0	825	1	0	4	17	True	91	12	69	3141	31.41	0
0	826	1	0	4	18	True	91	12	149	3221	32.21	0
0	827	1	0	4	19	True	91	11	45	2861	28.61	0
0	828	1	0	4	20	True	91	11	72	2888	28.88	0
0	829	1	0	4	21	True	91	10	170	2730	27.3	0
0	830	1	0	4	22	True	91	10	10	2570	25.7	0
0	831	1	0	4	24	True	91	8	73	2121	21.21	0
0	832	1	0	4	25	True	91	11	17	2833	28.33	0
0	833	1	0	4	26	True	91	12	101	3173	31.73	0
0	834	1	0	4	27	True	91	13	209	3537	35.37	0
0	835	1	0	4	28	True	91	2	12	524	5.24	0
0	836	1	0	4	29	True	91	6	47	1583	15.83	0
0	837	1	0	4	30	True	91	7	252	2044	20.44	0
0	838	1	0	4	31	True	91	10	112	2672	26.72	0
0	839	1	0	4	32	True	91	8	19	2067	20.67	0
0	840	1	0	4	33	True	91	9	214	2518	25.18	0
0	841	1	0	4	22	True	41	9	160	2464	24.64	0
0	842	1	0	4	34	True	91	8	224	2272	22.72	0
0	843	1	0	4	20	True	41	15	147	3987	39.87	0
0	844	1	0	4	18	False	211	4	190	1214	12.14	0
0	845	1	0	4	26	False	40	9	195	2499	24.99	0
0	846	1	0	4	3	False	97	4	133	1157	11.57	0
0	847	1	0	4	27	False	40	4	133	1157	11.57	0
0	848	1	26	3	5	False	30	4	0	1024	10.24	0
0	849	1	0	4	19	True	40	4	110	1134	11.34	0
0	850	1	2	1	20	True	0	0	0	0	0.0	0
0	851	1	0	4	21	True	40	9	176	2480	24.8	0
0	852	1	0	4	43	True	4	4	165	1189	11.89	0
0	853	1	1	6	61	False	61	13	61	3389	33.89	15677
0	854	1	0	4	15	False	220	10	99	2659	26.59	0
0	855	1	0	4	16	False	219	9	200	2504	25.04	0
0	856	1	0	4	10	True	219	10	98	2658	26.58	0
0	857	1	0	4	15	False	172	3	67	835	8.35	0
0	858	1	0	4	4	False	10	8	15	2063	20.63	0
0	859	1	26	7	6	True	172	3	45	813	8.13	4013373
0	860	1	0	4	9	False	245	10	138	2698	26.98	0
0	861	1	0	4	8	False	243	6	174	1710	17.1	0
0	862	1	0	4	13	True	243	6	156	1692	16.92	0
0	863	1	0	4	7	True	42	1	147	403	4.03	0
0	864	1	0	4	6	False	39	14	224	3808	38.08	0
0	865	1	0	4	6	True	39	14	207	3791	37.91	0
0	866	1	0	4	32	False	100	15	165	4005	40.05	0
0	867	1	0	4	11	True	100	15	145	3985	39.85	0
0	868	1	0	4	21	False	32	10	89	2649	26.49	0
0	869	1	0	4	6	True	32	10	69	2629	26.29	0
