readout	layer	chipID	col	row	timestamp_col	timestamp_row	tot_us_col	tot_us_row	avg_tot_us
1	1	0	18	30	166	166	18.3	18.47	18.384999999999998
1	1	2	26	23	24	24	12.84	13.03	12.934999999999999
1	1	2	28	24	12	12	12.63	12.83	12.73
1	1	2	21	5	62	62	6.45	6.64	6.545
1	1	2	31	18	207	207	7.59	7.79	7.6899999999999995
1	1	3	7	31	73	73	6.22	6.44	6.33
1	1	2	11	13	136	136	14.06	14.27	14.165
1	1	2	21	19	106	106	7.77	7.96	7.865
1	1	3	3	6	148	149	9.01	9.21	9.11
1	1	2	10	2	19	19	7.77	7.98	7.875
1	1	2	28	18	91	92	18.1	18.29	18.195
1	1	3	18	30	174	174	18.41	18.62	18.515
1	1	2	27	5	51	51	6.09	6.29	6.1899999999999995
1	1	1	23	28	58	58	12.93	13.15	13.04
1	1	2	18	27	197	197	11.59	11.78	11.684999999999999
1	1	0	31	24	34	34	7.86	8.02	7.9399999999999995
1	1	2	24	16	2	2	7.96	8.14	8.05
1	1	2	11	16	60	59	11.75	12.1	11.925
1	1	2	29	22	225	225	10.18	10.39	10.285
1	1	2	22	22	19	19	18.63	18.8	18.715
1	1	3	3	32	125	126	13.9	14.09	13.995000000000001
1	1	2	25	17	39	39	5.75	5.96	5.855
1	1	2	21	26	117	117	6.21	6.4	6.305
1	1	2	17	33	143	143	9.63	9.85	9.74
1	1	2	31	6	62	62	3.65	3.85	3.75
1	1	2	20	25	36	36	4.85	5.06	4.955
1	1	2	17	17	70	70	10.53	10.72	10.625
1	1	2	25	6	66	66	7.07	7.26	7.165
1	1	2	13	24	196	196	10.51	10.72	10.615
1	1	2	27	21	93	93	5.24	5.43	5.335
1	1	0	22	21	196	196	17.11	17.3	17.205
1	1	2	22	17	194	194	9.4	9.63	9.515
1	1	2	23	19	70	70	14.22	14.42	14.32
1	1	2	16	22	130	130	13.63	13.84	13.735
1	1	2	26	29	161	161	9.75	9.95	9.85
1	1	1	9	30	104	104	11.73	11.9	11.815000000000001
1	1	2	16	26	180	181	11.51	11.61	11.559999999999999
1	1	2	18	20	187	187	10.44	10.66	10.55
1	1	2	19	19	185	185	7.19	7.37	7.28
1	1	2	32	0	153	153	4.49	4.67	4.58
1	1	2	6	31	212	212	5.4	5.6	5.5
1	1	2	13	24	214	214	4.67	4.87	4.77
1	1	3	13	32	30	30	14.78	14.98	14.879999999999999
1	1	2	21	17	69	70	9.24	9.46	9.350000000000001
1	1	2	6	30	33	33	8.91	9.1	9.004999999999999
1	1	2	28	14	44	44	11.4	11.62	11.51
1	1	2	30	20	34	35	8.5	8.71	8.605
1	1	2	23	0	1	1	7.72	7.94	7.83
1	1	2	13	20	44	44	12.63	12.84	12.735
1	1	2	4	25	9	9	3.97	4.16	4.065
1	1	2	29	25	255	255	16.64	16.85	16.745
1	1	2	17	24	223	223	10.02	10.23	10.125
1	1	2	18	25	222	222	9.85	10.06	9.955
1	1	3	23	19	19	19	6.38	6.61	6.495
1	1	2	21	24	2	2	8.02	8.22	8.120000000000001
1	1	3	3	18	98	98	7.2	7.42	7.3100000000000005
1	1	2	13	18	144	144	7.47	7.66	7.5649999999999995
1	1	0	15	30	218	218	11.03	11.21	11.120000000000001
1	1	2	11	14	181	181	12.86	13.09	12.975
1	1	2	20	22	147	147	8.87	9.07	8.969999999999999
1	1	3	12	20	38	38	17.09	17.27	17.18
1	1	0	25	20	220	220	5.23	5.42	5.325
1	1	0	23	33	162	162	6.62	6.81	6.715
1	1	2	29	16	3	3	9.46	9.65	9.555
1	1	2	9	2	113	114	5.81	6.0	5.904999999999999
1	1	2	23	30	132	133	9.92	10.12	10.02
1	1	2	21	20	245	245	6.08	6.29	6.1850000000000005
1	1	2	25	3	121	121	7.33	7.52	7.425
1	1	2	26	4	121	121	5.78	5.97	5.875
1	1	2	20	16	172	172	3.49	3.69	3.59
1	1	2	13	33	106	107	16.48	16.69	16.585
1	1	2	18	17	141	141	10.45	10.67	10.559999999999999
1	1	2	23	25	17	17	11.44	11.67	11.555
1	1	2	22	15	156	156	6.95	7.16	7.055
1	1	2	19	20	93	93	5.09	5.31	5.199999999999999
1	1	2	27	15	12	12	2.83	3.05	2.94
1	1	2	29	15	89	89	8.44	8.66	8.55
1	1	2	28	20	41	41	6.99	7.19	7.09
1	1	2	14	20	135	135	4.57	4.8	4.6850000000000005
1	1	2	20	19	79	79	5.2	5.4	5.300000000000001
1	1	2	10	10	52	53	13.59	13.76	13.675
1	1	2	7	20	138	138	6.93	7.14	7.035
1	1	3	10	32	57	57	13.61	13.82	13.715
1	1	2	16	4	152	153	6.97	7.17	7.07
1	1	2	33	16	39	39	8.68	8.86	8.77
1	1	0	29	33	198	198	12.92	13.1	13.01
1	1	2	21	29	252	252	9.11	9.31	9.21
1	1	2	8	27	193	193	1.93	2.11	2.02
1	1	0	19	19	141	141	5.01	5.16	5.085
1	1	2	29	23	69	69	10.15	10.36	10.254999999999999
1	1	2	33	4	104	104	4.83	5.01	4.92
1	1	2	26	31	173	173	9.55	9.75	9.65
1	1	2	30	2	191	191	7.83	8.05	7.94
1	1	0	19	33	191	191	4.28	4.47	4.375
1	1	2	24	31	29	29	7.09	7.28	7.1850000000000005
1	1	2	14	23	215	215	4.45	4.64	4.545
1	1	0	11	29	162	162	7.56	7.73	7.645
1	1	0	12	28	162	162	12.64	12.82	12.73
1	1	2	30	2	24	24	2.04	2.24	2.14
1	1	2	13	31	246	246	4.89	5.08	4.984999999999999
1	1	0	15	30	48	48	11.75	11.93	11.84
1	1	0	17	6	91	91	6.7	6.89	6.795
1	1	2	10	17	32	32	9.66	9.88	9.77
1	1	3	9	14	11	11	6.65	6.88	6.765000000000001
1	1	2	7	15	53	53	2.26	2.47	2.365
1	1	2	20	21	25	25	6.05	6.24	6.145
2	1	2	22	29	30	30	8.91	9.1	9.004999999999999
2	1	2	22	21	102	102	5.12	5.31	5.215
2	1	0	14	32	30	30	10.34	10.53	10.434999999999999
2	1	2	13	6	109	109	5.71	5.91	5.8100000000000005
2	1	2	25	2	19	18	6.92	7.39	7.154999999999999
2	1	0	28	33	101	101	11.04	11.22	11.129999999999999
2	1	2	15	4	5	6	9.72	9.9	9.81
2	1	2	24	25	225	225	10.78	10.98	10.879999999999999
2	1	3	9	32	14	14	14.38	14.57	14.475000000000001
2	1	2	28	28	79	79	15.91	16.06	15.985
2	1	2	17	23	232	233	5.9	6.09	5.995
2	1	2	20	16	99	99	5.48	5.67	5.575
2	1	2	20	17	83	83	2.75	2.99	2.87
2	1	2	21	18	86	86	5.08	5.27	5.175
2	1	2	4	13	87	87	4.93	5.14	5.035
2	1	2	33	22	12	13	8.11	8.3	8.205
2	1	2	15	14	140	140	6.22	6.46	6.34
2	1	0	14	23	177	177	18.07	18.24	18.155
2	1	3	12	28	208	208	10.09	10.33	10.21
2	1	2	18	16	94	94	9.55	9.75	9.65
2	1	2	27	20	43	43	10.6	10.82	10.71
2	1	2	12	14	238	238	10.35	10.57	10.46
2	1	2	3	25	177	177	6.3	6.49	6.395
2	1	2	24	32	15	15	5.92	6.15	6.035
2	1	1	33	10	242	242	17.64	17.81	17.725
2	1	2	5	32	63	63	8.48	8.67	8.575
2	1	2	25	18	47	47	10.47	10.67	10.57
2	1	2	27	16	202	202	11.14	11.34	11.24
2	1	3	9	20	206	206	2.6	2.76	2.6799999999999997
2	1	0	13	25	49	49	15.77	15.95	15.86
2	1	2	3	2	199	199	16.65	16.86	16.755
2	1	2	16	24	178	178	12.69	12.9	12.795
2	1	2	25	29	216	216	6.71	6.89	6.8
2	1	0	17	20	105	105	5.64	5.85	5.744999999999999
2	1	2	15	15	214	214	7.1	7.29	7.195
2	1	2	9	31	219	219	4.06	4.24	4.15
2	1	2	19	29	8	9	8.5	8.7	8.6
2	1	2	21	14	144	144	9.47	9.7	9.585
2	1	1	16	23	231	232	6.36	6.52	6.4399999999999995
2	1	2	14	11	154	154	5.09	5.29	5.1899999999999995
2	1	2	17	16	16	16	3.2	3.39	3.295
2	1	2	20	33	120	120	16.45	16.67	16.560000000000002
2	1	2	14	33	102	102	8.44	8.65	8.545
2	1	2	15	32	100	100	16.03	16.23	16.130000000000003
2	1	3	17	26	89	89	3.45	3.68	3.5650000000000004
2	1	3	13	32	39	39	14.15	14.35	14.25
2	1	2	29	16	203	203	8.42	8.6	8.51
2	1	2	13	20	153	154	14.61	14.83	14.719999999999999
2	1	0	20	30	173	173	8.3	8.47	8.385000000000002
2	1	2	9	10	189	189	10.74	10.93	10.835
2	1	3	25	20	174	174	2.63	2.81	2.7199999999999998
2	1	0	7	31	215	215	11.3	11.46	11.38
2	1	2	25	21	70	70	4.67	4.84	4.755
2	1	2	16	18	79	79	5.99	6.2	6.095000000000001
2	1	0	27	32	94	94	16.98	17.17	17.075000000000003
2	1	2	33	20	250	250	14.72	14.93	14.825
2	1	0	23	31	234	234	11.5	11.68	11.59
2	1	2	17	17	48	48	11.63	11.83	11.73
2	1	2	26	26	245	245	14.69	14.86	14.774999999999999
2	1	2	12	10	115	115	5.04	5.25	5.145
2	1	2	10	0	70	70	15.34	15.55	15.445
2	1	2	26	25	179	179	8.58	8.77	8.675
2	1	2	26	14	20	20	8.55	8.79	8.67
2	1	2	33	21	192	192	14.47	14.64	14.555
2	1	3	11	8	226	226	9.49	9.68	9.585
2	1	3	13	10	229	230	7.39	7.57	7.48
2	1	3	14	11	225	225	12.53	12.74	12.635
2	1	2	14	22	253	253	7.57	7.77	7.67
2	1	2	17	3	241	241	10.66	10.88	10.77
2	1	2	20	30	146	146	11.65	11.84	11.745000000000001
2	1	1	26	27	254	254	10.53	10.73	10.629999999999999
2	1	2	33	3	143	143	5.33	5.53	5.43
2	1	2	28	24	125	125	7.35	7.56	7.455
2	1	1	7	26	125	125	13.24	13.41	13.325
2	1	2	8	6	193	193	7.08	7.27	7.175
2	1	2	33	4	152	152	5.76	5.93	5.845
2	1	2	19	17	44	43	4.97	5.28	5.125
2	1	2	20	18	43	43	8.81	9.01	8.91
